est_type,Tstop,est
observed,6.625,0.460665528771946
observed,6.66666666666667,0.459682625453495
observed,6.70833333333333,0.458498549578815
observed,6.75,0.45730910013623
observed,6.79166666666667,0.455714644156222
observed,6.83333333333333,0.455114404469968
observed,6.875,0.453910483538924
observed,6.91666666666667,0.452501177220872
observed,6.95833333333333,0.450482696553228
observed,7,0.450077038521045
observed,7.04166666666667,0.448244972839704
observed,7.08333333333333,0.447018390404159
observed,7.125,0.445990568231468
observed,7.16666666666667,0.444750364779284
observed,7.20833333333333,0.443922537204078
observed,7.25,0.4428844548349
observed,7.29166666666667,0.442049020406325
observed,7.33333333333333,0.441419320947057
observed,7.375,0.44015631629711
observed,7.41666666666667,0.439311887031325
observed,7.45833333333333,0.438675611654866
observed,7.5,0.436972841825498
observed,7.54166666666667,0.435691391629241
